,Unnamed: 0,age,job,marital,education,housing,contact,month,day_of_week,duration,previous,poutcome,y,Promotion
74,74,3,3,0,5,2,0,7,1,5,5,3,1,Yes
75,75,1,1,1,2,2,0,0,2,2,0,1,0,No
76,76,2,0,0,3,0,0,3,1,5,0,1,1,Yes
77,77,1,8,2,3,0,0,5,0,3,0,1,1,Yes
78,78,2,7,1,3,0,1,3,4,1,0,1,0,No
79,79,3,1,1,0,0,0,6,0,2,0,1,0,No
80,80,3,6,1,2,0,0,6,2,3,0,1,0,Yes
81,81,2,3,1,6,2,0,1,2,2,0,1,0,No
82,82,2,1,1,0,2,0,1,2,3,0,1,0,Yes
83,83,1,7,2,2,2,1,6,3,1,0,1,0,No
84,84,1,0,1,6,2,0,1,2,1,0,1,0,No
85,85,2,6,1,6,0,0,7,4,3,0,1,0,Yes
86,86,3,5,1,0,2,1,4,3,2,0,1,0,No
87,87,2,2,1,6,2,0,3,2,4,0,1,1,Yes
88,88,1,9,1,2,2,0,6,0,1,0,1,0,No
89,89,1,0,2,6,2,0,7,0,1,0,1,0,No
90,90,2,9,1,5,0,1,4,4,2,0,1,0,No
91,91,1,0,0,6,2,0,1,1,4,0,1,0,Yes
92,92,1,6,2,6,0,1,4,1,4,0,1,0,Yes
93,93,2,10,1,2,2,0,0,1,3,0,1,0,Yes
94,94,3,2,1,3,0,0,7,2,3,0,1,0,Yes
95,95,3,1,1,1,0,0,1,2,2,0,1,0,No
96,96,2,1,2,3,0,0,5,4,3,0,1,1,Yes
97,97,3,9,1,7,0,0,0,0,4,0,1,1,Yes
98,98,2,0,2,6,2,0,5,1,3,4,2,0,Yes
99,99,2,9,1,5,2,0,3,4,3,0,1,0,Yes
100,100,1,8,2,2,2,0,6,1,3,0,1,0,Yes
101,101,2,9,0,7,2,1,6,4,4,0,1,0,Yes
102,102,3,0,1,6,2,1,3,2,4,0,1,1,Yes
103,103,2,3,1,0,0,1,6,4,4,0,1,1,Yes
104,104,1,9,0,3,2,1,4,3,2,0,1,0,No
105,105,2,9,2,5,2,0,1,3,2,0,1,0,No
106,106,2,9,2,5,0,0,0,4,4,0,1,0,Yes
107,107,3,1,1,1,2,0,1,0,4,0,1,0,Yes
108,108,2,0,1,3,0,0,6,4,2,1,2,0,No
109,109,2,7,1,3,2,1,4,0,3,0,1,0,Yes
110,110,2,0,0,3,2,0,3,4,3,0,1,0,Yes
111,111,1,0,2,3,2,1,4,4,3,1,2,0,Yes
112,112,1,7,1,3,2,0,7,3,2,0,1,0,No
113,113,1,1,1,2,2,1,6,3,3,0,1,0,Yes
114,114,2,2,1,6,0,1,4,0,1,0,1,0,No
115,115,3,1,1,5,0,0,6,0,1,0,1,0,No
116,116,2,10,1,5,0,1,4,0,2,0,1,0,No
117,117,1,4,2,6,2,0,6,1,4,0,1,1,Yes
118,118,2,4,1,0,0,1,4,4,1,0,1,0,No
119,119,1,0,2,3,2,0,6,2,1,1,2,0,No
120,120,2,2,2,6,2,1,4,0,1,0,1,0,No
121,121,3,0,1,3,0,1,6,3,2,0,1,0,No
122,122,2,2,0,5,0,0,3,2,1,0,1,0,No
123,123,2,1,1,7,2,0,3,3,1,0,1,0,No
124,124,3,5,1,3,2,0,1,4,4,0,1,1,Yes
125,125,3,0,1,0,2,0,3,3,2,0,1,0,No
126,126,1,9,1,5,0,0,3,1,3,0,1,0,Yes
127,127,2,2,1,2,2,0,7,3,1,1,2,0,No
128,128,4,5,0,0,0,0,4,0,4,0,1,1,Yes
129,129,1,1,2,2,0,0,3,4,1,0,1,0,No
130,130,2,2,1,6,2,1,4,0,4,0,1,0,Yes
131,131,3,2,1,6,2,1,4,2,1,0,1,0,No
132,132,3,5,0,0,2,1,6,4,2,0,1,0,No
133,133,2,4,1,6,0,0,4,2,3,0,1,1,Yes
134,134,2,1,2,1,2,1,6,4,2,0,1,0,No
135,135,1,9,2,6,2,0,1,4,2,0,1,0,No
136,136,2,1,1,0,2,0,3,2,3,0,1,0,Yes
137,137,1,1,2,3,2,0,3,0,3,0,1,0,Yes
138,138,1,9,2,5,2,0,1,2,1,0,1,0,No
139,139,2,1,1,5,0,1,6,1,1,0,1,0,No
140,140,2,7,1,1,2,0,6,3,2,0,1,0,No
141,141,2,0,1,3,0,1,6,0,5,0,1,0,Yes
142,142,2,1,2,1,0,0,7,2,4,1,2,0,Yes
143,143,1,6,1,6,2,0,4,1,5,0,1,1,Yes
144,144,3,5,1,5,0,0,5,3,4,2,2,1,Yes
145,145,2,1,1,0,2,0,6,4,3,0,1,0,Yes
146,146,2,10,2,5,0,0,7,3,3,0,1,0,Yes
147,147,1,1,1,0,0,0,0,1,1,0,1,0,No
148,148,2,4,1,6,0,0,1,4,5,0,1,1,Yes
149,149,1,0,1,3,2,1,6,2,4,0,1,0,Yes
150,150,2,1,1,2,2,1,6,0,3,0,1,0,Yes
151,151,1,8,2,7,0,0,6,3,4,5,3,1,Yes
152,152,2,10,2,1,2,0,7,3,1,1,2,0,No
153,153,1,1,1,3,2,0,6,4,1,0,1,0,No
154,154,1,0,2,6,0,1,6,0,1,0,1,0,No
155,155,1,0,2,6,2,0,6,0,1,0,1,0,No
156,156,2,9,2,5,0,1,6,4,1,0,1,0,No
157,157,2,9,2,6,2,0,1,3,2,0,1,0,No
158,158,2,1,1,3,0,0,3,4,3,0,1,0,Yes
159,159,3,0,1,3,0,0,1,4,3,0,1,0,Yes
160,160,3,7,1,7,0,1,6,0,3,0,1,0,Yes
161,161,3,1,1,0,2,1,4,3,4,0,1,0,Yes
162,162,1,9,2,5,2,0,7,0,3,0,1,0,Yes
163,163,2,0,1,6,2,0,7,1,2,0,1,0,No
164,164,2,9,1,5,2,0,7,3,2,0,1,0,No
165,165,1,7,1,3,2,0,3,2,1,0,1,0,No
166,166,3,0,1,2,0,0,9,2,2,1,2,0,No
167,167,2,2,1,6,2,0,7,2,2,1,2,0,No
168,168,1,9,0,3,2,0,3,4,2,0,1,0,No
169,169,4,4,1,7,0,0,9,0,5,0,1,1,Yes
170,170,3,0,1,6,2,0,7,4,3,0,1,0,Yes
171,171,2,0,2,3,0,1,6,3,4,0,1,0,Yes
172,172,2,9,0,3,2,0,3,2,1,0,1,0,No
173,173,1,4,2,6,0,0,3,4,4,0,1,0,Yes
174,174,1,0,2,6,2,0,6,0,2,1,2,0,No
175,175,2,2,1,5,0,1,4,4,2,0,1,0,No
176,176,2,0,1,3,2,0,3,2,5,0,1,0,Yes
177,177,1,7,2,0,2,1,6,2,4,0,1,0,Yes
178,178,2,1,1,0,0,0,6,3,3,0,1,0,Yes
179,179,1,7,2,3,2,0,3,4,1,0,1,0,No
180,180,2,0,1,3,0,1,3,0,3,0,1,0,Yes
181,181,1,0,1,3,0,1,6,1,2,0,1,0,No
182,182,3,0,1,5,2,0,0,2,4,0,1,1,Yes
183,183,2,2,1,0,0,1,4,3,1,0,1,0,No
184,184,2,9,2,6,2,1,4,1,1,0,1,0,No
185,185,2,6,1,5,2,1,4,1,4,0,1,0,Yes
186,186,2,0,2,6,2,0,6,3,4,1,2,0,Yes
187,187,3,1,0,0,1,1,4,2,4,0,1,0,Yes
188,188,3,7,0,3,2,1,4,2,1,0,1,0,No
189,189,2,9,1,6,0,0,0,2,3,1,2,0,Yes
190,190,2,4,1,2,2,0,1,0,3,0,1,0,Yes
191,191,1,1,1,2,0,1,6,3,2,0,1,0,No
192,192,2,9,1,3,2,0,1,0,1,0,1,0,No
193,193,2,2,1,2,2,0,6,0,3,0,1,0,Yes
194,194,2,0,1,6,2,0,7,1,4,0,1,0,Yes
195,195,1,7,1,2,2,1,6,2,3,0,1,0,Yes
196,196,1,1,1,2,2,0,6,1,1,0,1,0,No
197,197,3,0,0,6,2,1,4,4,2,0,1,0,No
198,198,2,0,1,3,0,0,3,2,3,0,1,0,Yes
199,199,3,4,0,6,2,1,6,0,5,0,1,0,Yes
200,200,1,0,1,6,2,0,1,3,4,1,3,1,Yes
201,201,3,4,1,6,2,0,3,1,2,0,1,0,No
202,202,1,0,1,6,0,0,1,2,1,0,1,0,No
203,203,3,6,1,0,0,1,6,2,2,0,1,0,No
204,204,3,7,1,1,0,1,6,0,5,0,1,1,Yes
205,205,2,0,2,3,0,0,0,0,3,0,1,0,Yes
206,206,2,1,1,3,2,0,0,1,1,0,1,0,No
207,207,1,0,2,6,2,0,7,0,1,0,1,0,No
208,208,1,0,1,6,2,0,6,4,5,1,3,1,Yes
209,209,1,1,1,2,0,0,6,2,1,1,2,0,No
210,210,2,7,0,2,2,0,3,4,2,0,1,0,No
211,211,1,7,2,6,2,1,4,3,1,0,1,0,No
212,212,2,4,1,2,0,1,7,1,1,0,1,0,No
213,213,3,2,1,6,0,0,0,2,1,0,1,0,No
214,214,1,7,0,3,0,1,6,4,5,0,1,0,Yes
215,215,3,9,1,5,0,0,1,4,1,0,1,0,No
216,216,2,0,2,6,0,0,3,4,3,0,1,0,Yes
217,217,2,1,0,0,0,0,7,2,1,0,1,0,No
218,218,1,9,1,6,0,1,4,2,3,0,1,0,Yes
219,219,2,0,0,2,0,1,6,4,4,0,1,0,Yes
220,220,2,9,2,5,2,0,3,1,4,0,1,0,Yes
221,221,1,7,1,3,2,0,7,4,1,1,2,0,No
222,222,3,5,1,6,2,1,6,3,2,0,1,0,No
223,223,2,1,1,2,2,1,4,3,2,0,1,0,No
224,224,2,9,2,3,2,0,1,3,2,0,1,0,No
225,225,2,1,2,2,2,1,6,2,2,0,1,0,No
226,226,2,2,1,6,0,0,0,0,1,1,2,0,No
227,227,2,1,0,1,2,0,0,0,3,0,1,0,Yes
228,228,2,7,1,2,0,1,4,0,1,0,1,0,No
229,229,3,0,1,0,2,0,7,1,1,0,1,0,No
230,230,3,11,1,0,0,1,6,3,4,0,1,0,Yes
231,231,2,4,2,6,2,0,3,3,3,0,1,0,Yes
232,232,3,2,1,6,2,0,3,2,5,0,1,0,Yes
233,233,3,5,1,6,2,0,1,2,5,0,1,0,Yes
234,234,3,1,1,0,0,0,3,0,4,0,1,0,Yes
235,235,3,5,0,0,0,0,6,0,3,0,1,0,Yes
236,236,1,0,1,6,2,0,1,2,5,0,1,0,Yes
237,237,2,9,1,5,0,0,0,2,3,0,1,0,Yes
238,238,2,1,1,1,2,1,4,1,1,0,1,0,No
239,239,3,5,1,3,0,0,3,2,2,0,1,0,No
240,240,2,0,1,5,2,0,0,1,4,1,2,0,Yes
241,241,3,0,1,6,2,1,6,1,2,0,1,0,No
242,242,2,4,1,7,2,1,4,0,2,0,1,0,No
243,243,2,6,1,3,2,0,0,4,3,0,1,0,Yes
244,244,2,7,2,3,2,1,6,3,3,0,1,0,Yes
245,245,3,4,0,6,0,1,4,2,1,0,1,0,No
246,246,2,1,1,2,2,0,0,3,3,0,1,0,Yes
247,247,1,0,2,6,2,0,3,1,2,0,1,0,No
248,248,2,1,2,1,2,0,7,4,4,0,1,0,Yes
249,249,2,9,2,2,2,0,7,4,2,0,1,0,No
250,250,2,7,1,3,2,0,3,4,2,0,1,0,No
251,251,1,0,1,3,0,0,4,1,2,1,2,1,No
252,252,1,7,2,2,0,1,3,4,4,0,1,0,Yes
253,253,3,5,1,0,0,0,7,3,2,0,1,0,No
254,254,2,7,0,3,2,0,3,1,4,0,1,0,Yes
255,255,2,1,1,2,2,1,6,4,3,0,1,0,Yes
256,256,3,9,1,5,0,0,8,2,4,3,3,1,Yes
257,257,1,0,2,6,2,0,3,3,1,0,1,0,No
258,258,3,0,1,3,2,0,3,4,4,0,1,0,Yes
259,259,2,9,2,2,0,1,6,1,1,0,1,0,No
260,260,2,9,1,5,2,1,6,3,2,0,1,0,No
261,261,3,2,0,6,2,1,6,1,2,0,1,0,No
262,262,1,9,2,5,0,0,6,2,2,1,2,0,No
263,263,2,9,1,6,1,0,1,2,5,0,1,1,Yes
264,264,2,1,1,2,0,0,0,2,4,0,1,1,Yes
265,265,3,1,1,0,2,0,1,2,1,0,1,0,No
266,266,1,6,2,6,2,0,6,4,1,0,1,0,No
267,267,3,1,2,0,0,0,3,4,2,0,1,0,No
268,268,2,0,2,3,2,0,6,0,3,1,2,0,Yes
269,269,3,1,0,0,2,0,0,2,3,1,2,0,Yes
270,270,3,6,1,6,0,1,6,1,4,0,1,0,Yes
271,271,1,9,2,6,2,0,6,0,2,0,1,0,No
272,272,1,1,1,2,0,0,3,3,4,0,1,1,Yes
273,273,2,9,0,5,2,0,1,3,3,0,1,0,Yes
274,274,1,9,1,5,0,0,4,4,4,1,2,0,Yes
275,275,2,6,1,5,0,0,0,3,3,1,2,0,Yes
276,276,3,5,1,2,0,1,6,2,1,0,1,0,No
277,277,1,2,1,3,2,0,7,4,3,0,1,0,Yes
278,278,3,5,0,0,2,1,8,0,2,0,1,0,No
279,279,2,1,1,0,2,1,4,0,4,0,1,0,Yes
280,280,2,1,1,1,0,0,6,3,1,0,1,0,No
281,281,1,1,1,1,1,1,6,0,1,0,1,0,No
282,282,2,0,1,6,2,1,4,0,2,0,1,0,No
283,283,1,1,0,3,0,1,4,1,1,0,1,0,No
284,284,3,9,0,2,0,0,7,4,3,0,1,0,Yes
285,285,1,0,2,6,2,0,3,1,3,0,1,0,Yes
286,286,2,2,1,5,0,1,4,4,3,0,1,0,Yes
287,287,2,1,1,7,2,1,6,1,2,0,1,0,No
288,288,3,1,1,0,0,0,3,0,1,0,1,0,No
289,289,2,0,1,3,2,0,7,1,2,0,1,0,No
290,290,2,7,1,3,2,0,7,1,3,1,2,0,Yes
291,291,2,0,1,1,0,0,3,2,1,0,1,0,No
292,292,2,1,2,0,2,1,4,2,2,0,1,0,No
293,293,2,1,1,0,2,1,6,1,5,0,1,0,Yes
294,294,3,1,1,0,2,1,6,3,3,0,1,0,Yes
295,295,1,7,1,3,2,1,4,4,3,0,1,0,Yes
296,296,2,7,1,3,0,0,3,2,5,0,1,1,Yes
297,297,2,0,1,3,0,0,3,1,2,0,1,0,No
298,298,2,9,2,5,0,0,3,3,4,0,1,0,Yes
299,299,2,0,2,5,0,1,6,1,2,0,1,0,No
300,300,3,0,1,0,0,0,0,0,3,0,1,0,Yes
301,301,3,1,1,0,2,1,6,2,2,0,1,0,No
302,302,2,7,1,3,0,0,7,3,1,1,2,0,No
303,303,2,1,2,7,0,0,0,0,1,0,1,0,No
304,304,1,9,1,6,0,0,1,4,3,0,1,0,Yes
305,305,3,5,1,2,2,1,6,0,1,0,1,0,No
306,306,2,10,0,3,0,0,7,2,1,0,1,0,No
307,307,1,2,1,6,0,0,1,1,1,0,1,0,No
308,308,1,8,2,3,0,0,8,0,4,0,1,1,Yes
309,309,1,3,1,6,2,0,1,4,3,0,1,0,Yes
310,310,1,0,2,6,2,0,7,2,4,0,1,0,Yes
311,311,2,9,1,5,2,0,6,2,1,0,1,0,No
312,312,1,1,1,2,0,0,3,3,2,0,1,0,No
313,313,3,9,1,5,2,0,6,1,1,0,1,0,No
314,314,1,4,1,6,0,0,1,3,4,0,1,0,Yes
315,315,2,1,1,2,2,0,6,2,2,0,1,0,No
316,316,1,7,1,7,2,1,4,4,4,0,1,0,Yes
317,317,2,1,1,2,0,1,6,4,2,0,1,0,No
318,318,1,0,1,6,2,0,1,3,1,0,1,0,No
319,319,3,1,1,5,2,0,6,3,2,1,2,0,No
320,320,2,4,1,6,0,0,1,3,4,0,1,0,Yes
321,321,1,7,2,3,0,0,3,3,2,0,1,1,No
322,322,2,9,2,5,0,1,6,4,1,0,1,0,No
323,323,2,1,1,0,0,0,0,1,5,0,1,1,Yes
324,324,2,1,0,2,2,0,3,4,2,0,1,0,No
325,325,1,9,1,6,2,0,1,4,2,0,1,0,No
326,326,1,0,2,6,0,0,6,4,2,0,1,0,No
327,327,1,0,2,6,0,0,9,1,3,0,1,1,Yes
328,328,2,0,2,3,0,0,6,3,1,0,1,0,No
329,329,2,7,2,3,2,1,6,2,2,0,1,0,No
330,330,1,0,1,3,2,0,8,1,2,0,1,0,No
331,331,4,5,0,0,2,0,0,2,3,0,1,0,Yes
332,332,3,0,1,3,2,0,7,0,3,0,1,0,Yes
333,333,2,1,1,2,2,0,0,0,2,1,2,0,No
334,334,2,0,1,1,2,1,6,2,2,0,1,0,No
335,335,2,3,1,6,2,0,6,3,1,0,1,0,No
336,336,2,1,2,2,1,1,4,0,1,0,1,0,No
337,337,1,0,1,3,2,1,6,2,1,0,1,0,No
338,338,2,11,1,0,0,1,6,3,3,0,1,0,Yes
339,339,3,0,0,6,0,1,6,0,1,0,1,0,No
340,340,3,9,1,3,0,0,3,3,4,0,1,0,Yes
341,341,1,1,2,1,2,0,6,0,4,0,1,0,Yes
342,342,1,9,1,5,2,0,1,4,1,0,1,0,No
343,343,2,7,1,3,0,1,6,2,1,0,1,0,No
344,344,1,0,0,6,2,1,6,3,3,0,1,0,Yes
345,345,2,2,1,6,0,1,4,0,1,0,1,0,No
346,346,2,4,1,6,0,0,1,1,5,0,1,0,Yes
347,347,2,1,1,5,0,1,4,2,3,0,1,0,Yes
348,348,1,10,1,6,2,0,3,2,5,0,1,0,Yes
349,349,2,1,1,1,0,1,6,2,4,0,1,0,Yes
350,350,1,9,1,6,2,0,6,1,1,0,1,0,No
351,351,3,4,1,6,0,1,4,2,4,0,1,0,Yes
352,352,2,2,0,6,0,1,6,2,2,0,1,0,No
353,353,3,0,0,7,2,0,6,4,1,0,1,0,No
354,354,2,0,1,6,2,0,1,3,4,1,2,0,Yes
355,355,1,1,2,2,0,0,6,0,4,0,1,0,Yes
356,356,2,1,1,0,0,1,4,0,1,0,1,0,No
357,357,1,10,1,5,2,1,7,3,4,0,1,1,Yes
358,358,1,1,2,2,2,0,4,3,2,2,3,1,No
359,359,1,1,0,0,0,1,4,4,3,0,1,0,Yes
360,360,2,1,1,1,0,1,6,2,2,0,1,0,No
361,361,1,8,2,3,0,0,6,3,1,0,1,0,No
362,362,2,3,1,2,0,1,4,3,3,0,1,0,Yes
363,363,2,9,1,2,2,1,6,4,3,0,1,0,Yes
364,364,1,10,2,3,0,0,6,2,4,0,1,0,Yes
365,365,2,9,2,6,2,1,1,2,3,0,1,0,Yes
366,366,3,0,1,6,0,1,6,2,2,0,1,0,No
367,367,1,9,0,3,0,0,3,4,3,0,1,0,Yes
368,368,2,9,1,6,2,0,1,4,4,0,1,0,Yes
369,369,1,1,1,2,2,0,6,1,2,0,1,0,No
370,370,2,0,2,3,2,0,7,4,2,1,2,0,No
371,371,2,1,0,2,2,0,3,1,2,0,1,0,No
372,372,1,0,2,3,0,0,4,1,1,0,1,0,No
373,373,1,0,2,6,0,0,3,2,4,0,1,0,Yes
374,374,1,0,2,6,0,0,5,0,2,1,2,0,No
375,375,1,1,1,0,2,0,6,0,4,0,1,0,Yes
376,376,1,0,2,6,2,0,1,0,1,2,2,0,No
377,377,2,9,1,5,2,0,3,2,4,0,1,0,Yes
378,378,1,8,2,7,2,0,9,4,3,3,2,0,Yes
379,379,3,0,0,6,2,0,3,4,2,0,1,0,No
380,380,2,9,1,5,0,1,6,0,2,0,1,0,No
381,381,1,9,1,5,0,0,3,2,1,0,1,0,No
382,382,2,6,1,6,2,0,1,4,4,0,1,0,Yes
383,383,2,1,1,2,2,0,7,3,2,0,1,0,No
384,384,2,7,1,3,0,0,0,2,2,0,1,0,No
385,385,4,5,0,5,2,0,3,2,2,0,1,0,No
386,386,2,9,1,5,2,0,1,2,3,0,1,0,Yes
387,387,3,9,1,3,0,0,8,2,3,0,1,1,Yes
388,388,1,1,2,2,0,0,3,4,5,0,1,1,Yes
389,389,2,4,0,6,0,0,6,1,4,0,1,0,Yes
390,390,2,4,1,3,2,1,6,2,3,0,1,0,Yes
391,391,1,0,2,6,0,0,0,2,5,0,1,0,Yes
392,392,3,6,1,3,2,0,3,3,2,0,1,0,No
393,393,2,0,2,6,0,0,1,4,2,0,1,0,No
394,394,2,7,1,5,0,0,6,2,3,0,1,0,Yes
395,395,1,6,1,6,2,0,7,0,1,0,1,0,No
396,396,1,9,1,5,2,0,1,3,5,0,1,1,Yes
397,397,2,7,0,3,2,0,7,0,5,0,1,0,Yes
398,398,3,7,1,3,2,0,5,2,2,3,2,1,No
399,399,1,1,2,5,2,0,6,2,1,1,2,0,No
400,400,4,0,1,0,2,0,6,0,4,2,3,1,Yes
401,401,2,7,2,3,2,0,6,0,1,0,1,0,No
402,402,3,0,1,3,0,1,6,4,2,0,1,0,No
403,403,1,0,2,6,2,0,1,2,2,0,1,0,No
404,404,1,8,2,2,2,1,8,3,5,0,1,1,Yes
405,405,2,7,1,3,2,0,0,0,1,0,1,0,No
406,406,2,4,1,3,0,1,6,0,1,0,1,0,No
407,407,3,5,1,1,0,1,6,2,3,0,1,0,Yes
408,408,3,0,0,3,2,0,6,1,2,1,2,0,No
409,409,1,0,1,6,0,0,7,1,4,0,1,0,Yes
410,410,2,1,1,2,2,1,6,2,4,0,1,0,Yes
411,411,3,10,1,0,2,0,6,4,5,0,1,0,Yes
412,412,1,0,2,3,0,0,4,0,1,0,1,0,No
413,413,2,0,2,6,2,1,6,3,1,0,1,0,No
414,414,1,0,1,6,0,0,3,4,4,0,1,0,Yes
415,415,2,9,1,3,0,0,6,1,4,1,2,0,Yes
416,416,2,1,1,2,0,0,6,4,3,0,1,0,Yes
417,417,2,4,1,6,0,0,7,4,4,0,1,0,Yes
418,418,2,1,1,0,0,0,3,2,2,0,1,0,No
419,419,2,9,0,6,2,0,1,0,4,3,3,1,Yes
420,420,1,0,2,3,1,0,4,2,2,0,1,0,No
421,421,2,4,1,6,0,0,3,1,3,0,1,0,Yes
422,422,2,0,1,6,0,0,1,1,4,0,1,1,Yes
423,423,1,4,2,6,2,0,6,1,1,0,1,0,No
424,424,2,9,1,6,2,1,6,3,1,0,1,0,No
425,425,2,1,1,2,2,0,6,2,4,0,1,0,Yes
426,426,1,8,2,6,0,0,7,1,2,0,1,1,No
427,427,2,9,1,2,2,0,8,3,3,1,3,0,Yes
428,428,1,9,2,3,0,0,6,1,3,0,1,0,Yes
429,429,3,1,1,0,2,0,1,3,3,0,1,0,Yes
430,430,2,0,2,6,0,1,4,1,4,0,1,0,Yes
431,431,1,1,2,5,2,1,6,1,1,0,1,0,No
432,432,3,0,1,3,2,0,3,0,1,0,1,0,No
433,433,1,1,2,6,1,0,9,2,5,0,1,1,Yes
434,434,2,0,0,6,2,0,1,3,1,0,1,0,No
435,435,1,8,2,3,2,1,4,1,4,1,3,1,Yes
436,436,1,0,2,3,2,0,6,0,2,0,1,0,No
437,437,2,1,1,1,0,1,6,3,3,0,1,0,Yes
438,438,2,0,1,6,2,0,1,3,2,0,1,0,No
439,439,1,1,1,2,2,0,6,3,2,1,2,0,No
440,440,3,0,1,6,0,0,1,2,3,0,1,0,Yes
441,441,2,4,2,7,0,1,6,0,2,0,1,0,No
442,442,2,3,1,3,2,1,6,0,3,0,1,0,Yes
443,443,1,7,2,6,1,0,3,4,3,0,1,0,Yes
444,444,1,9,2,6,2,0,1,4,3,0,1,0,Yes
445,445,2,9,0,5,0,0,1,4,2,0,1,0,No
446,446,2,11,1,2,0,0,1,3,2,0,1,0,No
447,447,3,11,1,1,0,0,3,0,1,0,1,0,No
