,age,job,marital,education,housing,contact,month,day_of_week,duration,previous,poutcome,y,Promotion
167,2,2,1,6,2,0,7,2,2,1,2,0,Not Received
168,1,9,0,3,2,0,3,4,2,0,1,0,Not Received
169,4,4,1,7,0,0,9,0,5,0,1,1,Received
170,3,0,1,6,2,0,7,4,3,0,1,0,Received
171,2,0,2,3,0,1,6,3,4,0,1,0,Received
172,2,9,0,3,2,0,3,2,1,0,1,0,Not Received
173,1,4,2,6,0,0,3,4,4,0,1,0,Received
174,1,0,2,6,2,0,6,0,2,1,2,0,Not Received
175,2,2,1,5,0,1,4,4,2,0,1,0,Not Received
176,2,0,1,3,2,0,3,2,5,0,1,0,Received
177,1,7,2,0,2,1,6,2,4,0,1,0,Received
178,2,1,1,0,0,0,6,3,3,0,1,0,Received
179,1,7,2,3,2,0,3,4,1,0,1,0,Not Received
180,2,0,1,3,0,1,3,0,3,0,1,0,Received
181,1,0,1,3,0,1,6,1,2,0,1,0,Not Received
182,3,0,1,5,2,0,0,2,4,0,1,1,Received
183,2,2,1,0,0,1,4,3,1,0,1,0,Not Received
184,2,9,2,6,2,1,4,1,1,0,1,0,Not Received
185,2,6,1,5,2,1,4,1,4,0,1,0,Received
186,2,0,2,6,2,0,6,3,4,1,2,0,Received
187,3,1,0,0,1,1,4,2,4,0,1,0,Received
188,3,7,0,3,2,1,4,2,1,0,1,0,Not Received
189,2,9,1,6,0,0,0,2,3,1,2,0,Received
190,2,4,1,2,2,0,1,0,3,0,1,0,Received
191,1,1,1,2,0,1,6,3,2,0,1,0,Not Received
192,2,9,1,3,2,0,1,0,1,0,1,0,Not Received
193,2,2,1,2,2,0,6,0,3,0,1,0,Received
194,2,0,1,6,2,0,7,1,4,0,1,0,Received
195,1,7,1,2,2,1,6,2,3,0,1,0,Received
196,1,1,1,2,2,0,6,1,1,0,1,0,Not Received
197,3,0,0,6,2,1,4,4,2,0,1,0,Not Received
198,2,0,1,3,0,0,3,2,3,0,1,0,Received
199,3,4,0,6,2,1,6,0,5,0,1,0,Received
200,1,0,1,6,2,0,1,3,4,1,3,1,Received
201,3,4,1,6,2,0,3,1,2,0,1,0,Not Received
202,1,0,1,6,0,0,1,2,1,0,1,0,Not Received
203,3,6,1,0,0,1,6,2,2,0,1,0,Not Received
204,3,7,1,1,0,1,6,0,5,0,1,1,Received
205,2,0,2,3,0,0,0,0,3,0,1,0,Received
206,2,1,1,3,2,0,0,1,1,0,1,0,Not Received
207,1,0,2,6,2,0,7,0,1,0,1,0,Not Received
208,1,0,1,6,2,0,6,4,5,1,3,1,Received
209,1,1,1,2,0,0,6,2,1,1,2,0,Not Received
210,2,7,0,2,2,0,3,4,2,0,1,0,Not Received
211,1,7,2,6,2,1,4,3,1,0,1,0,Not Received
212,2,4,1,2,0,1,7,1,1,0,1,0,Not Received
213,3,2,1,6,0,0,0,2,1,0,1,0,Not Received
214,1,7,0,3,0,1,6,4,5,0,1,0,Received
215,3,9,1,5,0,0,1,4,1,0,1,0,Not Received
216,2,0,2,6,0,0,3,4,3,0,1,0,Received
217,2,1,0,0,0,0,7,2,1,0,1,0,Not Received
218,1,9,1,6,0,1,4,2,3,0,1,0,Received
219,2,0,0,2,0,1,6,4,4,0,1,0,Received
220,2,9,2,5,2,0,3,1,4,0,1,0,Received
221,1,7,1,3,2,0,7,4,1,1,2,0,Not Received
222,3,5,1,6,2,1,6,3,2,0,1,0,Not Received
223,2,1,1,2,2,1,4,3,2,0,1,0,Not Received
224,2,9,2,3,2,0,1,3,2,0,1,0,Not Received
225,2,1,2,2,2,1,6,2,2,0,1,0,Not Received
226,2,2,1,6,0,0,0,0,1,1,2,0,Not Received
227,2,1,0,1,2,0,0,0,3,0,1,0,Received
228,2,7,1,2,0,1,4,0,1,0,1,0,Not Received
229,3,0,1,0,2,0,7,1,1,0,1,0,Not Received
230,3,11,1,0,0,1,6,3,4,0,1,0,Received
231,2,4,2,6,2,0,3,3,3,0,1,0,Received
232,3,2,1,6,2,0,3,2,5,0,1,0,Received
233,3,5,1,6,2,0,1,2,5,0,1,0,Received
234,3,1,1,0,0,0,3,0,4,0,1,0,Received
235,3,5,0,0,0,0,6,0,3,0,1,0,Received
236,1,0,1,6,2,0,1,2,5,0,1,0,Received
237,2,9,1,5,0,0,0,2,3,0,1,0,Received
238,2,1,1,1,2,1,4,1,1,0,1,0,Not Received
239,3,5,1,3,0,0,3,2,2,0,1,0,Not Received
240,2,0,1,5,2,0,0,1,4,1,2,0,Received
241,3,0,1,6,2,1,6,1,2,0,1,0,Not Received
242,2,4,1,7,2,1,4,0,2,0,1,0,Not Received
243,2,6,1,3,2,0,0,4,3,0,1,0,Received
244,2,7,2,3,2,1,6,3,3,0,1,0,Received
245,3,4,0,6,0,1,4,2,1,0,1,0,Not Received
246,2,1,1,2,2,0,0,3,3,0,1,0,Received
247,1,0,2,6,2,0,3,1,2,0,1,0,Not Received
248,2,1,2,1,2,0,7,4,4,0,1,0,Received
249,2,9,2,2,2,0,7,4,2,0,1,0,Not Received
250,2,7,1,3,2,0,3,4,2,0,1,0,Not Received
251,1,0,1,3,0,0,4,1,2,1,2,1,Not Received
252,1,7,2,2,0,1,3,4,4,0,1,0,Received
253,3,5,1,0,0,0,7,3,2,0,1,0,Not Received
254,2,7,0,3,2,0,3,1,4,0,1,0,Received
255,2,1,1,2,2,1,6,4,3,0,1,0,Received
256,3,9,1,5,0,0,8,2,4,3,3,1,Received
257,1,0,2,6,2,0,3,3,1,0,1,0,Not Received
258,3,0,1,3,2,0,3,4,4,0,1,0,Received
259,2,9,2,2,0,1,6,1,1,0,1,0,Not Received
260,2,9,1,5,2,1,6,3,2,0,1,0,Not Received
261,3,2,0,6,2,1,6,1,2,0,1,0,Not Received
262,1,9,2,5,0,0,6,2,2,1,2,0,Not Received
263,2,9,1,6,1,0,1,2,5,0,1,1,Received
264,2,1,1,2,0,0,0,2,4,0,1,1,Received
265,3,1,1,0,2,0,1,2,1,0,1,0,Not Received
266,1,6,2,6,2,0,6,4,1,0,1,0,Not Received
267,3,1,2,0,0,0,3,4,2,0,1,0,Not Received
268,2,0,2,3,2,0,6,0,3,1,2,0,Received
269,3,1,0,0,2,0,0,2,3,1,2,0,Received
270,3,6,1,6,0,1,6,1,4,0,1,0,Received
271,1,9,2,6,2,0,6,0,2,0,1,0,Not Received
272,1,1,1,2,0,0,3,3,4,0,1,1,Received
273,2,9,0,5,2,0,1,3,3,0,1,0,Received
274,1,9,1,5,0,0,4,4,4,1,2,0,Received
275,2,6,1,5,0,0,0,3,3,1,2,0,Received
276,3,5,1,2,0,1,6,2,1,0,1,0,Not Received
277,1,2,1,3,2,0,7,4,3,0,1,0,Received
278,3,5,0,0,2,1,8,0,2,0,1,0,Not Received
279,2,1,1,0,2,1,4,0,4,0,1,0,Received
280,2,1,1,1,0,0,6,3,1,0,1,0,Not Received
281,1,1,1,1,1,1,6,0,1,0,1,0,Not Received
282,2,0,1,6,2,1,4,0,2,0,1,0,Not Received
283,1,1,0,3,0,1,4,1,1,0,1,0,Not Received
284,3,9,0,2,0,0,7,4,3,0,1,0,Received
285,1,0,2,6,2,0,3,1,3,0,1,0,Received
286,2,2,1,5,0,1,4,4,3,0,1,0,Received
287,2,1,1,7,2,1,6,1,2,0,1,0,Not Received
288,3,1,1,0,0,0,3,0,1,0,1,0,Not Received
289,2,0,1,3,2,0,7,1,2,0,1,0,Not Received
290,2,7,1,3,2,0,7,1,3,1,2,0,Received
291,2,0,1,1,0,0,3,2,1,0,1,0,Not Received
292,2,1,2,0,2,1,4,2,2,0,1,0,Not Received
293,2,1,1,0,2,1,6,1,5,0,1,0,Received
294,3,1,1,0,2,1,6,3,3,0,1,0,Received
295,1,7,1,3,2,1,4,4,3,0,1,0,Received
296,2,7,1,3,0,0,3,2,5,0,1,1,Received
297,2,0,1,3,0,0,3,1,2,0,1,0,Not Received
298,2,9,2,5,0,0,3,3,4,0,1,0,Received
299,2,0,2,5,0,1,6,1,2,0,1,0,Not Received
300,3,0,1,0,0,0,0,0,3,0,1,0,Received
301,3,1,1,0,2,1,6,2,2,0,1,0,Not Received
302,2,7,1,3,0,0,7,3,1,1,2,0,Not Received
303,2,1,2,7,0,0,0,0,1,0,1,0,Not Received
304,1,9,1,6,0,0,1,4,3,0,1,0,Received
305,3,5,1,2,2,1,6,0,1,0,1,0,Not Received
306,2,10,0,3,0,0,7,2,1,0,1,0,Not Received
307,1,2,1,6,0,0,1,1,1,0,1,0,Not Received
308,1,8,2,3,0,0,8,0,4,0,1,1,Received
309,1,3,1,6,2,0,1,4,3,0,1,0,Received
310,1,0,2,6,2,0,7,2,4,0,1,0,Received
311,2,9,1,5,2,0,6,2,1,0,1,0,Not Received
312,1,1,1,2,0,0,3,3,2,0,1,0,Not Received
313,3,9,1,5,2,0,6,1,1,0,1,0,Not Received
314,1,4,1,6,0,0,1,3,4,0,1,0,Received
315,2,1,1,2,2,0,6,2,2,0,1,0,Not Received
316,1,7,1,7,2,1,4,4,4,0,1,0,Received
317,2,1,1,2,0,1,6,4,2,0,1,0,Not Received
318,1,0,1,6,2,0,1,3,1,0,1,0,Not Received
319,3,1,1,5,2,0,6,3,2,1,2,0,Not Received
320,2,4,1,6,0,0,1,3,4,0,1,0,Received
321,1,7,2,3,0,0,3,3,2,0,1,1,Not Received
322,2,9,2,5,0,1,6,4,1,0,1,0,Not Received
323,2,1,1,0,0,0,0,1,5,0,1,1,Received
324,2,1,0,2,2,0,3,4,2,0,1,0,Not Received
325,1,9,1,6,2,0,1,4,2,0,1,0,Not Received
326,1,0,2,6,0,0,6,4,2,0,1,0,Not Received
327,1,0,2,6,0,0,9,1,3,0,1,1,Received
328,2,0,2,3,0,0,6,3,1,0,1,0,Not Received
329,2,7,2,3,2,1,6,2,2,0,1,0,Not Received
330,1,0,1,3,2,0,8,1,2,0,1,0,Not Received
331,4,5,0,0,2,0,0,2,3,0,1,0,Received
332,3,0,1,3,2,0,7,0,3,0,1,0,Received
333,2,1,1,2,2,0,0,0,2,1,2,0,Not Received
334,2,0,1,1,2,1,6,2,2,0,1,0,Not Received
335,2,3,1,6,2,0,6,3,1,0,1,0,Not Received
336,2,1,2,2,1,1,4,0,1,0,1,0,Not Received
337,1,0,1,3,2,1,6,2,1,0,1,0,Not Received
338,2,11,1,0,0,1,6,3,3,0,1,0,Received
339,3,0,0,6,0,1,6,0,1,0,1,0,Not Received
340,3,9,1,3,0,0,3,3,4,0,1,0,Received
341,1,1,2,1,2,0,6,0,4,0,1,0,Received
342,1,9,1,5,2,0,1,4,1,0,1,0,Not Received
343,2,7,1,3,0,1,6,2,1,0,1,0,Not Received
344,1,0,0,6,2,1,6,3,3,0,1,0,Received
345,2,2,1,6,0,1,4,0,1,0,1,0,Not Received
346,2,4,1,6,0,0,1,1,5,0,1,0,Received
347,2,1,1,5,0,1,4,2,3,0,1,0,Received
348,1,10,1,6,2,0,3,2,5,0,1,0,Received
349,2,1,1,1,0,1,6,2,4,0,1,0,Received
350,1,9,1,6,2,0,6,1,1,0,1,0,Not Received
351,3,4,1,6,0,1,4,2,4,0,1,0,Received
352,2,2,0,6,0,1,6,2,2,0,1,0,Not Received
353,3,0,0,7,2,0,6,4,1,0,1,0,Not Received
354,2,0,1,6,2,0,1,3,4,1,2,0,Received
355,1,1,2,2,0,0,6,0,4,0,1,0,Received
356,2,1,1,0,0,1,4,0,1,0,1,0,Not Received
357,1,10,1,5,2,1,7,3,4,0,1,1,Received
358,1,1,2,2,2,0,4,3,2,2,3,1,Not Received
359,1,1,0,0,0,1,4,4,3,0,1,0,Received
360,2,1,1,1,0,1,6,2,2,0,1,0,Not Received
361,1,8,2,3,0,0,6,3,1,0,1,0,Not Received
362,2,3,1,2,0,1,4,3,3,0,1,0,Received
363,2,9,1,2,2,1,6,4,3,0,1,0,Received
364,1,10,2,3,0,0,6,2,4,0,1,0,Received
365,2,9,2,6,2,1,1,2,3,0,1,0,Received
366,3,0,1,6,0,1,6,2,2,0,1,0,Not Received
367,1,9,0,3,0,0,3,4,3,0,1,0,Received
368,2,9,1,6,2,0,1,4,4,0,1,0,Received
369,1,1,1,2,2,0,6,1,2,0,1,0,Not Received
370,2,0,2,3,2,0,7,4,2,1,2,0,Not Received
371,2,1,0,2,2,0,3,1,2,0,1,0,Not Received
372,1,0,2,3,0,0,4,1,1,0,1,0,Not Received
373,1,0,2,6,0,0,3,2,4,0,1,0,Received
374,1,0,2,6,0,0,5,0,2,1,2,0,Not Received
375,1,1,1,0,2,0,6,0,4,0,1,0,Received
376,1,0,2,6,2,0,1,0,1,2,2,0,Not Received
377,2,9,1,5,2,0,3,2,4,0,1,0,Received
378,1,8,2,7,2,0,9,4,3,3,2,0,Received
379,3,0,0,6,2,0,3,4,2,0,1,0,Not Received
380,2,9,1,5,0,1,6,0,2,0,1,0,Not Received
381,1,9,1,5,0,0,3,2,1,0,1,0,Not Received
382,2,6,1,6,2,0,1,4,4,0,1,0,Received
383,2,1,1,2,2,0,7,3,2,0,1,0,Not Received
384,2,7,1,3,0,0,0,2,2,0,1,0,Not Received
385,4,5,0,5,2,0,3,2,2,0,1,0,Not Received
386,2,9,1,5,2,0,1,2,3,0,1,0,Received
387,3,9,1,3,0,0,8,2,3,0,1,1,Received
388,1,1,2,2,0,0,3,4,5,0,1,1,Received
389,2,4,0,6,0,0,6,1,4,0,1,0,Received
390,2,4,1,3,2,1,6,2,3,0,1,0,Received
391,1,0,2,6,0,0,0,2,5,0,1,0,Received
392,3,6,1,3,2,0,3,3,2,0,1,0,Not Received
393,2,0,2,6,0,0,1,4,2,0,1,0,Not Received
394,2,7,1,5,0,0,6,2,3,0,1,0,Received
395,1,6,1,6,2,0,7,0,1,0,1,0,Not Received
396,1,9,1,5,2,0,1,3,5,0,1,1,Received
397,2,7,0,3,2,0,7,0,5,0,1,0,Received
398,3,7,1,3,2,0,5,2,2,3,2,1,Not Received
399,1,1,2,5,2,0,6,2,1,1,2,0,Not Received
400,4,0,1,0,2,0,6,0,4,2,3,1,Received
401,2,7,2,3,2,0,6,0,1,0,1,0,Not Received
402,3,0,1,3,0,1,6,4,2,0,1,0,Not Received
403,1,0,2,6,2,0,1,2,2,0,1,0,Not Received
404,1,8,2,2,2,1,8,3,5,0,1,1,Received
405,2,7,1,3,2,0,0,0,1,0,1,0,Not Received
406,2,4,1,3,0,1,6,0,1,0,1,0,Not Received
407,3,5,1,1,0,1,6,2,3,0,1,0,Received
408,3,0,0,3,2,0,6,1,2,1,2,0,Not Received
409,1,0,1,6,0,0,7,1,4,0,1,0,Received
410,2,1,1,2,2,1,6,2,4,0,1,0,Received
411,3,10,1,0,2,0,6,4,5,0,1,0,Received
412,1,0,2,3,0,0,4,0,1,0,1,0,Not Received
413,2,0,2,6,2,1,6,3,1,0,1,0,Not Received
414,1,0,1,6,0,0,3,4,4,0,1,0,Received
415,2,9,1,3,0,0,6,1,4,1,2,0,Received
416,2,1,1,2,0,0,6,4,3,0,1,0,Received
417,2,4,1,6,0,0,7,4,4,0,1,0,Received
418,2,1,1,0,0,0,3,2,2,0,1,0,Not Received
419,2,9,0,6,2,0,1,0,4,3,3,1,Received
420,1,0,2,3,1,0,4,2,2,0,1,0,Not Received
421,2,4,1,6,0,0,3,1,3,0,1,0,Received
422,2,0,1,6,0,0,1,1,4,0,1,1,Received
423,1,4,2,6,2,0,6,1,1,0,1,0,Not Received
424,2,9,1,6,2,1,6,3,1,0,1,0,Not Received
425,2,1,1,2,2,0,6,2,4,0,1,0,Received
426,1,8,2,6,0,0,7,1,2,0,1,1,Not Received
427,2,9,1,2,2,0,8,3,3,1,3,0,Received
428,1,9,2,3,0,0,6,1,3,0,1,0,Received
429,3,1,1,0,2,0,1,3,3,0,1,0,Received
430,2,0,2,6,0,1,4,1,4,0,1,0,Received
431,1,1,2,5,2,1,6,1,1,0,1,0,Not Received
432,3,0,1,3,2,0,3,0,1,0,1,0,Not Received
433,1,1,2,6,1,0,9,2,5,0,1,1,Received
434,2,0,0,6,2,0,1,3,1,0,1,0,Not Received
435,1,8,2,3,2,1,4,1,4,1,3,1,Received
436,1,0,2,3,2,0,6,0,2,0,1,0,Not Received
437,2,1,1,1,0,1,6,3,3,0,1,0,Received
438,2,0,1,6,2,0,1,3,2,0,1,0,Not Received
439,1,1,1,2,2,0,6,3,2,1,2,0,Not Received
440,3,0,1,6,0,0,1,2,3,0,1,0,Received
441,2,4,2,7,0,1,6,0,2,0,1,0,Not Received
442,2,3,1,3,2,1,6,0,3,0,1,0,Received
443,1,7,2,6,1,0,3,4,3,0,1,0,Received
444,1,9,2,6,2,0,1,4,3,0,1,0,Received
445,2,9,0,5,0,0,1,4,2,0,1,0,Not Received
446,2,11,1,2,0,0,1,3,2,0,1,0,Not Received
447,3,11,1,1,0,0,3,0,1,0,1,0,Not Received
448,3,4,1,6,0,1,1,3,2,0,1,0,Not Received
449,2,1,1,0,2,1,3,3,1,0,1,0,Not Received
450,1,4,0,2,2,0,6,4,2,0,1,0,Not Received
451,1,10,2,3,0,0,6,0,1,0,1,0,Not Received
452,3,7,0,1,2,1,4,3,3,0,1,0,Received
453,1,1,2,3,2,0,6,4,4,0,1,0,Received
454,2,9,1,5,2,0,1,3,2,0,1,0,Not Received
455,2,3,1,0,0,1,6,1,1,0,1,0,Not Received
456,2,9,1,6,0,0,2,4,4,2,2,1,Received
457,3,0,1,3,2,0,1,4,1,0,1,0,Not Received
458,2,0,1,7,2,0,7,2,3,0,1,0,Received
459,2,0,1,6,2,0,3,3,1,0,1,0,Not Received
460,2,0,0,6,0,1,6,1,1,0,1,0,Not Received
461,2,0,1,5,0,0,0,1,1,0,1,0,Not Received
462,1,0,2,6,0,0,0,4,3,0,1,0,Received
